date,away_team,a_team_name,R_A,home_team,h_team_name,R_H,Ganador_Pitcher,Perdedor_Pitcher,Salvado_Pitcher,ganador
2025-05-10,NYY,New York Yankees,7,OAK,Athletics,11,Grant Holman,Fernando Cruz,Mason Miller,1
2025-05-10,ATL,Atlanta Braves,3,PIT,Pittsburgh Pirates,2,Scott Blewett,Chase Shugart,NotApplyed,0
2025-05-10,STL,St. Louis Cardinals,4,WSN,Washington Nationals,2,Andre Pallante,Trevor Williams,Ryan Helsley,0
2025-05-10,MIL,Milwaukee Brewers,2,TBR,Tampa Bay Rays,3,Pete Fairbanks,Grant Anderson,NotApplyed,1
2025-05-10,PHI,Philadelphia Phillies,7,CLE,Cleveland Guardians,1,Ranger Suárez,Tanner Bibee,NotApplyed,0
2025-05-10,TEX,Texas Rangers,10,DET,Detroit Tigers,3,Jacob deGrom,Jack Flaherty,NotApplyed,0
2025-05-10,MIA,Miami Marlins,3,CHW,Chicago White Sox,1,Calvin Faucher,Jordan Leasure,Jesús Tinoco,0
2025-05-10,CIN,Cincinnati Reds,13,HOU,Houston Astros,9,Graham Ashcraft,Lance McCullers Jr.,NotApplyed,0
2025-05-10,BOS,Boston Red Sox,10,KCR,Kansas City Royals,1,Garrett Crochet,Cole Ragans,NotApplyed,0
2025-05-10,SFG,San Francisco Giants,1,MIN,Minnesota Twins,2,Joe Ryan,Logan Webb,Jhoan Duran,1
2025-05-10,CHC,Chicago Cubs,6,NYM,New York Mets,5,Cade Horton,Tylor Megill,Porter Hodge,0
2025-05-10,LAD,Los Angeles Dodgers,0,ARI,Arizona Diamondbacks,3,Corbin Burnes,Dustin May,Ryne Nelson,1
2025-05-10,SDP,San Diego Padres,21,COL,Colorado Rockies,0,Stephen Kolek,Bradley Blalock,NotApplyed,0
2025-05-10,BAL,Baltimore Orioles,2,LAA,Los Angeles Angels,5,Jack Kochanowicz,Kyle Gibson,NotApplyed,1
2025-05-10,TOR,Toronto Blue Jays,6,SEA,Seattle Mariners,3,Mason Fluharty,Carlos Vargas,Jeff Hoffman,0
2025-05-15,WSN,Washington Nationals,2,ATL,Atlanta Braves,5,AJ Smith-Shawver,Trevor Williams,Raisel Iglesias,1
2025-05-15,MIN,Minnesota Twins,4,BAL,Baltimore Orioles,0,Chris Paddack,Tomoyuki Sugano,NotApplyed,0
2025-05-15,CHW,Chicago White Sox,1,CIN,Cincinnati Reds,7,Nick Martinez,Bryse Wilson,NotApplyed,1
2025-05-15,TBR,Tampa Bay Rays,8,TOR,Toronto Blue Jays,3,Zack Littell,Kevin Gausman,NotApplyed,0
2025-05-15,HOU,Houston Astros,0,TEX,Texas Rangers,1,Jacob deGrom,Hunter Brown,Shawn Armstrong,1
2025-05-15,OAK,Athletics,2,LAD,Los Angeles Dodgers,19,Justin Wrobleski,Osvaldo Bido,NotApplyed,1
2025-05-16,CHW,Chicago White Sox,3,CHC,Chicago Cubs,13,Cade Horton,Shane Smith,NotApplyed,1
2025-05-16,CLE,Cleveland Guardians,4,CIN,Cincinnati Reds,5,Brady Singer,Tanner Bibee,Emilio Pagán,1
2025-05-16,PIT,Pittsburgh Pirates,4,PHI,Philadelphia Phillies,8,Ranger Suárez,Ryan Borucki,José Alvarado,1
2025-05-16,WSN,Washington Nationals,4,BAL,Baltimore Orioles,3,Jorge López,Félix Bautista,Kyle Finnegan,0
2025-05-16,NYM,New York Mets,2,NYY,New York Yankees,6,Carlos Rodón,Tylor Megill,Luke Weaver,1
2025-05-16,DET,Detroit Tigers,5,TOR,Toronto Blue Jays,4,Jack Flaherty,Bowden Francis,Beau Brieske,0
2025-05-16,ATL,Atlanta Braves,4,BOS,Boston Red Sox,2,Chris Sale,Garrett Crochet,Raisel Iglesias,0
2025-05-16,TBR,Tampa Bay Rays,4,MIA,Miami Marlins,9,Max Meyer,Taj Bradley,NotApplyed,1
2025-05-16,STL,St. Louis Cardinals,10,KCR,Kansas City Royals,3,Andre Pallante,Cole Ragans,NotApplyed,0
2025-05-16,HOU,Houston Astros,6,TEX,Texas Rangers,3,Kaleb Ort,Shawn Armstrong,NotApplyed,0
2025-05-16,MIN,Minnesota Twins,3,MIL,Milwaukee Brewers,0,Joe Ryan,Chad Patrick,Cole Sands,0
2025-05-16,COL,Colorado Rockies,0,ARI,Arizona Diamondbacks,8,Corbin Burnes,Carson Palmquist,NotApplyed,1
2025-05-16,SEA,Seattle Mariners,5,SDP,San Diego Padres,1,Logan Evans,Stephen Kolek,NotApplyed,0
2025-05-16,LAA,Los Angeles Angels,6,LAD,Los Angeles Dodgers,2,Jack Kochanowicz,Dustin May,NotApplyed,0
2025-05-16,OAK,Athletics,1,SFG,San Francisco Giants,9,Logan Webb,JP Sears,NotApplyed,1
2025-05-17,NYM,New York Mets,3,NYY,New York Yankees,2,Reed Garrett,Fernando Cruz,Edwin Díaz,0
2025-05-17,CHW,Chicago White Sox,3,CHC,Chicago Cubs,7,Matthew Boyd,Sean Burke,NotApplyed,1
2025-05-17,DET,Detroit Tigers,1,TOR,Toronto Blue Jays,2,Jeff Hoffman,Brenan Hanifee,NotApplyed,1
2025-05-17,WSN,Washington Nationals,10,BAL,Baltimore Orioles,6,Jake Irvin,Kyle Gibson,NotApplyed,0
2025-05-17,TBR,Tampa Bay Rays,4,MIA,Miami Marlins,0,Drew Rasmussen,Sandy Alcantara,NotApplyed,0
2025-05-17,PIT,Pittsburgh Pirates,2,PHI,Philadelphia Phillies,5,Zack Wheeler,Carmen Mlodzinski,NotApplyed,1
2025-05-17,CLE,Cleveland Guardians,1,CIN,Cincinnati Reds,4,Luis Mey,Slade Cecconi,Emilio Pagán,1
2025-05-17,HOU,Houston Astros,1,TEX,Texas Rangers,5,Tyler Mahle,Ronel Blanco,NotApplyed,1
2025-05-17,STL,St. Louis Cardinals,1,KCR,Kansas City Royals,0,Miles Mikolas,Noah Cameron,Ryan Helsley,0
2025-05-17,ATL,Atlanta Braves,6,BOS,Boston Red Sox,7,Aroldis Chapman,Pierce Johnson,NotApplyed,1
2025-05-17,MIN,Minnesota Twins,7,MIL,Milwaukee Brewers,0,Pablo López,Tobias Myers,NotApplyed,0
2025-05-17,COL,Colorado Rockies,14,ARI,Arizona Diamondbacks,12,Jake Bird,Ryan Thompson,Seth Halvorsen,0
2025-05-17,SEA,Seattle Mariners,4,SDP,San Diego Padres,1,Gabe Speier,Adrián Morejón,Andrés Muñoz,0
2025-05-17,OAK,Athletics,0,SFG,San Francisco Giants,1,Camilo Doval,Mason Miller,NotApplyed,1
2025-05-17,LAA,Los Angeles Angels,11,LAD,Los Angeles Dodgers,9,Reid Detmers,Kirby Yates,Kenley Jansen,0
2025-05-19,CLE,Cleveland Guardians,5,MIN,Minnesota Twins,6,Jhoan Duran,Cade Smith,NotApplyed,1
2025-05-19,CHC,Chicago Cubs,7,MIA,Miami Marlins,8,Valente Bellozo,Daniel Palencia,NotApplyed,1
2025-05-19,CIN,Cincinnati Reds,7,PIT,Pittsburgh Pirates,1,Nick Lodolo,Mitch Keller,NotApplyed,0
2025-05-19,NYM,New York Mets,1,BOS,Boston Red Sox,3,Justin Wilson,Kodai Senga,Aroldis Chapman,1
2025-05-19,HOU,Houston Astros,4,TBR,Tampa Bay Rays,3,Bryan King,Manuel Rodríguez,Josh Hader,0
2025-05-19,SEA,Seattle Mariners,5,CHW,Chicago White Sox,1,Luis Castillo,Davis Martin,Andrés Muñoz,0
2025-05-19,BAL,Baltimore Orioles,4,MIL,Milwaukee Brewers,5,Abner Uribe,Yennier Cano,Trevor Megill,1
2025-05-19,DET,Detroit Tigers,4,STL,St. Louis Cardinals,11,Sonny Gray,Sean Guenther,NotApplyed,1
2025-05-19,PHI,Philadelphia Phillies,9,COL,Colorado Rockies,3,Joe Ross,Seth Halvorsen,NotApplyed,0
2025-05-19,KCR,Kansas City Royals,3,SFG,San Francisco Giants,1,Kris Bubic,Tyler Rogers,Carlos Estévez,0
2025-05-19,LAA,Los Angeles Angels,4,OAK,Athletics,3,José Soriano,J.T. Ginn,Kenley Jansen,0
2025-05-19,ARI,Arizona Diamondbacks,9,LAD,Los Angeles Dodgers,5,Brandon Pfaadt,Jack Dreyer,Shelby Miller,0
2025-05-21,CIN,Cincinnati Reds,1,PIT,Pittsburgh Pirates,3,Andrew Heaney,Brady Singer,Dennis Santana,1
2025-05-21,CHC,Chicago Cubs,2,MIA,Miami Marlins,1,Brad Keller,Anthony Bender,Daniel Palencia,0
2025-05-21,BAL,Baltimore Orioles,8,MIL,Milwaukee Brewers,4,Bryan Baker,Tyler Alexander,NotApplyed,0
2025-05-21,HOU,Houston Astros,4,TBR,Tampa Bay Rays,8,Taj Bradley,Hunter Brown,NotApplyed,1
2025-05-21,DET,Detroit Tigers,5,STL,St. Louis Cardinals,1,Chase Lee,Andre Pallante,NotApplyed,0
2025-05-21,SEA,Seattle Mariners,6,CHW,Chicago White Sox,5,Casey Legumina,Mike Vasil,Andrés Muñoz,0
2025-05-21,KCR,Kansas City Royals,8,SFG,San Francisco Giants,4,Jonathan Bowlan,Logan Webb,NotApplyed,0
2025-05-21,CLE,Cleveland Guardians,5,MIN,Minnesota Twins,1,Gavin Williams,Chris Paddack,NotApplyed,0
2025-05-21,NYM,New York Mets,5,BOS,Boston Red Sox,1,Huascar Brazobán,Liam Hendriks,NotApplyed,0
2025-05-21,TEX,Texas Rangers,3,NYY,New York Yankees,4,Luke Weaver,Luke Jackson,NotApplyed,1
2025-05-21,SDP,San Diego Padres,0,TOR,Toronto Blue Jays,14,Kevin Gausman,Randy Vásquez,NotApplyed,1
2025-05-21,PHI,Philadelphia Phillies,9,COL,Colorado Rockies,5,Taijuan Walker,Carson Palmquist,NotApplyed,0
2025-05-21,LAA,Los Angeles Angels,10,OAK,Athletics,5,Héctor Neris,JP Sears,NotApplyed,0
2025-05-21,ARI,Arizona Diamondbacks,1,LAD,Los Angeles Dodgers,3,Dustin May,Corbin Burnes,Tanner Scott,1
2025-05-22,TEX,Texas Rangers,0,NYY,New York Yankees,1,Carlos Rodón,Nathan Eovaldi,Luke Weaver,1
2025-05-22,SDP,San Diego Padres,6,TOR,Toronto Blue Jays,7,Braydon Fisher,Jeremiah Estrada,NotApplyed,1
2025-05-22,PHI,Philadelphia Phillies,2,COL,Colorado Rockies,0,Ranger Suárez,Germán Márquez,Jordan Romano,0
2025-05-22,LAA,Los Angeles Angels,10,OAK,Athletics,5,Hunter Strickland,Grant Holman,NotApplyed,0
2025-05-22,CLE,Cleveland Guardians,7,DET,Detroit Tigers,0,Tanner Bibee,Jack Flaherty,NotApplyed,0
2025-05-22,MIL,Milwaukee Brewers,8,PIT,Pittsburgh Pirates,5,Carlos Rodriguez,Mike Burrows,Trevor Megill,0
2025-05-22,ATL,Atlanta Braves,7,WSN,Washington Nationals,8,Jackson Rutledge,Dylan Lee,NotApplyed,1
2025-05-22,SEA,Seattle Mariners,2,HOU,Houston Astros,9,Shawn Dubin,George Kirby,NotApplyed,1
2025-05-23,BAL,Baltimore Orioles,5,BOS,Boston Red Sox,19,Garrett Whitlock,Seranthony Domínguez,NotApplyed,1
2025-05-23,CHC,Chicago Cubs,13,CIN,Cincinnati Reds,6,Chris Flexen,Tony Santillan,NotApplyed,0
2025-05-23,MIL,Milwaukee Brewers,5,PIT,Pittsburgh Pirates,6,Ryan Borucki,Abner Uribe,NotApplyed,1
2025-05-23,SFG,San Francisco Giants,4,WSN,Washington Nationals,0,Landen Roupp,MacKenzie Gore,NotApplyed,0
2025-05-23,TOR,Toronto Blue Jays,1,TBR,Tampa Bay Rays,3,Drew Rasmussen,Eric Lauer,Pete Fairbanks,1
2025-05-23,CLE,Cleveland Guardians,3,DET,Detroit Tigers,1,Slade Cecconi,Jackson Jobe,Emmanuel Clase,0
2025-05-23,LAD,Los Angeles Dodgers,7,NYM,New York Mets,5,Luis García,Huascar Brazobán,NotApplyed,0
2025-05-23,SDP,San Diego Padres,2,ATL,Atlanta Braves,1,Jason Adam,Raisel Iglesias,Robert Suarez,0
2025-05-23,TEX,Texas Rangers,1,CHW,Chicago White Sox,4,Sean Burke,Tyler Mahle,Steven Wilson,1
2025-05-23,SEA,Seattle Mariners,5,HOU,Houston Astros,3,Emerson Hancock,Bryan Abreu,Andrés Muñoz,0
2025-05-23,KCR,Kansas City Royals,1,MIN,Minnesota Twins,3,Cole Sands,Lucas Erceg,NotApplyed,1
2025-05-23,ARI,Arizona Diamondbacks,3,STL,St. Louis Cardinals,4,Miles Mikolas,Zac Gallen,Ryan Helsley,1
2025-05-23,NYY,New York Yankees,2,COL,Colorado Rockies,3,Tanner Gordon,Clarke Schmidt,Zach Agnos,1
2025-05-23,MIA,Miami Marlins,4,LAA,Los Angeles Angels,7,Yusei Kikuchi,Sandy Alcantara,Kenley Jansen,1
2025-05-23,PHI,Philadelphia Phillies,4,OAK,Athletics,3,Zack Wheeler,Jacob Lopez,Tanner Banks,0
2025-05-24,BAL,Baltimore Orioles,5,BOS,Boston Red Sox,6,Greg Weissert,Gregory Soto,NotApplyed,1
2025-05-24,KCR,Kansas City Royals,4,MIN,Minnesota Twins,5,Jhoan Duran,Daniel Lynch IV,NotApplyed,1
2025-05-24,ARI,Arizona Diamondbacks,5,STL,St. Louis Cardinals,6,Ryan Helsley,Justin Martinez,NotApplyed,1
2025-05-24,MIL,Milwaukee Brewers,1,PIT,Pittsburgh Pirates,2,Chase Shugart,Tyler Alexander,David Bednar,1
2025-05-24,SFG,San Francisco Giants,0,WSN,Washington Nationals,3,Jake Irvin,Kyle Harrison,Jorge López,1
2025-05-24,SDP,San Diego Padres,1,ATL,Atlanta Braves,7,Grant Holmes,Sean Reynolds,NotApplyed,1
2025-05-24,TEX,Texas Rangers,5,CHW,Chicago White Sox,10,Mike Vasil,Hoby Milner,NotApplyed,1
2025-05-24,CHC,Chicago Cubs,4,CIN,Cincinnati Reds,6,Andrew Abbott,Colin Rea,Emilio Pagán,1
2025-05-24,NYY,New York Yankees,13,COL,Colorado Rockies,1,Max Fried,Kyle Freeland,NotApplyed,0
2025-05-24,SEA,Seattle Mariners,1,HOU,Houston Astros,2,Framber Valdez,Bryan Woo,Josh Hader,1
2025-05-24,BAL,Baltimore Orioles,2,BOS,Boston Red Sox,1,Andrew Kittredge,Brennan Bernardino,Seranthony Domínguez,0
2025-05-24,TOR,Toronto Blue Jays,1,TBR,Tampa Bay Rays,3,Shane Baz,José Berríos,Pete Fairbanks,1
2025-05-24,CLE,Cleveland Guardians,7,DET,Detroit Tigers,5,Tim Herrin,Brenan Hanifee,NotApplyed,0
2025-05-24,LAD,Los Angeles Dodgers,2,NYM,New York Mets,5,David Peterson,Tony Gonsolin,Edwin Díaz,1
2025-05-24,PHI,Philadelphia Phillies,9,OAK,Athletics,6,Orion Kerkering,Mitch Spence,Max Lazar,0
2025-05-24,MIA,Miami Marlins,6,LAA,Los Angeles Angels,2,Ronny Henriquez,José Soriano,Janson Junk,0
2025-06-01,STL,St. Louis Cardinals,1,TEX,Texas Rangers,8,Jacob deGrom,Erick Fedde,NotApplyed,1
2025-06-01,BOS,Boston Red Sox,3,ATL,Atlanta Braves,1,Garrett Crochet,Bryce Elder,Aroldis Chapman,0
2025-06-01,CHW,Chicago White Sox,2,BAL,Baltimore Orioles,3,Charlie Morton,Adrian Houser,Bryan Baker,1
2025-06-01,MIL,Milwaukee Brewers,5,PHI,Philadelphia Phillies,2,Nick Mears,Orion Kerkering,Trevor Megill,0
2025-06-01,OAK,Athletics,4,TOR,Toronto Blue Jays,8,Erik Swanson,Justin Sterner,NotApplyed,1
2025-06-01,LAA,Los Angeles Angels,2,CLE,Cleveland Guardians,4,Gavin Williams,Jack Kochanowicz,Emmanuel Clase,1
2025-06-01,SFG,San Francisco Giants,4,MIA,Miami Marlins,2,Hayden Birdsong,Ryan Weathers,Camilo Doval,0
2025-06-01,COL,Colorado Rockies,3,NYM,New York Mets,5,Clay Holmes,Carson Palmquist,Edwin Díaz,1
2025-06-01,TBR,Tampa Bay Rays,0,HOU,Houston Astros,1,Hunter Brown,Taj Bradley,Josh Hader,1
2025-06-01,DET,Detroit Tigers,1,KCR,Kansas City Royals,0,Chase Lee,Kris Bubic,Will Vest,0
2025-06-01,CIN,Cincinnati Reds,3,CHC,Chicago Cubs,7,Jameson Taillon,Nick Martinez,NotApplyed,1
2025-06-01,WSN,Washington Nationals,1,ARI,Arizona Diamondbacks,3,Cristian Mena,Mitchell Parker,Justin Martinez,1
2025-06-01,MIN,Minnesota Twins,1,SEA,Seattle Mariners,2,Andrés Muñoz,Griffin Jax,NotApplyed,1
2025-06-01,PIT,Pittsburgh Pirates,4,SDP,San Diego Padres,6,Adrián Morejón,Tanner Rainey,Robert Suarez,1
2025-06-01,NYY,New York Yankees,7,LAD,Los Angeles Dodgers,3,Ryan Yarbrough,Yoshinobu Yamamoto,NotApplyed,0
2025-06-02,COL,Colorado Rockies,6,MIA,Miami Marlins,4,Germán Márquez,Max Meyer,Zach Agnos,0
2025-06-02,LAA,Los Angeles Angels,7,BOS,Boston Red Sox,6,Ryan Zeferjahn,Richard Fitts,Kenley Jansen,0
2025-06-02,MIL,Milwaukee Brewers,3,CIN,Cincinnati Reds,2,Aaron Civale,Brady Singer,Trevor Megill,0
2025-06-02,DET,Detroit Tigers,13,CHW,Chicago White Sox,1,Jack Flaherty,Jonathan Cannon,NotApplyed,0
2025-06-02,SDP,San Diego Padres,1,SFG,San Francisco Giants,0,Robert Suarez,Ryan Walker,NotApplyed,0
2025-06-02,MIN,Minnesota Twins,10,OAK,Athletics,4,Joe Ryan,Luis Severino,NotApplyed,0
2025-06-02,NYM,New York Mets,4,LAD,Los Angeles Dodgers,3,Edwin Díaz,Tanner Scott,José Buttó,0
2025-06-03,COL,Colorado Rockies,3,MIA,Miami Marlins,2,Victor Vodnik,Anthony Bender,Seth Halvorsen,0
2025-06-03,HOU,Houston Astros,3,PIT,Pittsburgh Pirates,0,Lance McCullers Jr.,Paul Skenes,Josh Hader,0
2025-06-03,CHC,Chicago Cubs,8,WSN,Washington Nationals,3,Cade Horton,Trevor Williams,NotApplyed,0
2025-06-03,CLE,Cleveland Guardians,2,NYY,New York Yankees,3,Carlos Rodón,Tanner Bibee,Devin Williams,1
2025-06-03,PHI,Philadelphia Phillies,8,TOR,Toronto Blue Jays,3,Cristopher Sánchez,Bowden Francis,NotApplyed,0
2025-06-03,LAA,Los Angeles Angels,4,BOS,Boston Red Sox,3,Kenley Jansen,Zack Kelly,Reid Detmers,0
2025-06-03,MIL,Milwaukee Brewers,2,CIN,Cincinnati Reds,4,Graham Ashcraft,Freddy Peralta,Emilio Pagán,1
2025-06-03,ARI,Arizona Diamondbacks,8,ATL,Atlanta Braves,3,Zac Gallen,Spencer Strider,NotApplyed,0
2025-06-03,TEX,Texas Rangers,1,TBR,Tampa Bay Rays,5,Drew Rasmussen,Tyler Mahle,NotApplyed,1
2025-06-03,DET,Detroit Tigers,1,CHW,Chicago White Sox,8,Shane Smith,Brant Hurter,NotApplyed,1
2025-06-03,KCR,Kansas City Royals,10,STL,St. Louis Cardinals,7,Steven Cruz,Steven Matz,Carlos Estévez,0
2025-06-03,BAL,Baltimore Orioles,5,SEA,Seattle Mariners,1,Tomoyuki Sugano,George Kirby,NotApplyed,0
2025-06-03,SDP,San Diego Padres,3,SFG,San Francisco Giants,2,Yuki Matsui,Spencer Bivens,Jeremiah Estrada,0
2025-06-03,MIN,Minnesota Twins,10,OAK,Athletics,3,Pablo López,Jacob Lopez,NotApplyed,0
2025-06-03,NYM,New York Mets,5,LAD,Los Angeles Dodgers,6,Tanner Scott,José Buttó,NotApplyed,1
2025-06-07,CHC,Chicago Cubs,6,DET,Detroit Tigers,1,Jameson Taillon,Tyler Holton,NotApplyed,0
2025-06-07,TOR,Toronto Blue Jays,5,MIN,Minnesota Twins,4,Chad Green,Griffin Jax,Jeff Hoffman,0
2025-06-07,LAD,Los Angeles Dodgers,1,STL,St. Louis Cardinals,2,Ryan Helsley,Ben Casparius,NotApplyed,1
2025-06-07,PHI,Philadelphia Phillies,1,PIT,Pittsburgh Pirates,2,Isaac Mattson,Ranger Suárez,David Bednar,1
2025-06-07,ATL,Atlanta Braves,2,SFG,San Francisco Giants,3,Tyler Rogers,Pierce Johnson,NotApplyed,1
2025-06-07,TEX,Texas Rangers,5,WSN,Washington Nationals,0,Jacob deGrom,Mitchell Parker,NotApplyed,0
2025-06-07,KCR,Kansas City Royals,1,CHW,Chicago White Sox,4,Adrian Houser,Michael Wacha,Dan Altavilla,1
2025-06-07,ARI,Arizona Diamondbacks,1,CIN,Cincinnati Reds,13,Nick Martinez,Ryne Nelson,NotApplyed,1
2025-06-07,HOU,Houston Astros,5,CLE,Cleveland Guardians,3,Josh Hader,Hunter Gaddis,Bennett Sousa,0
2025-06-07,MIA,Miami Marlins,11,TBR,Tampa Bay Rays,10,Cade Gibson,Garrett Cleavinger,NotApplyed,0
2025-06-07,SDP,San Diego Padres,3,MIL,Milwaukee Brewers,4,Trevor Megill,David Morgan,NotApplyed,1
2025-06-07,BOS,Boston Red Sox,10,NYY,New York Yankees,7,Garrett Crochet,Ryan Yarbrough,Aroldis Chapman,0
2025-06-07,SEA,Seattle Mariners,6,LAA,Los Angeles Angels,8,Connor Brogdon,Luis Castillo,Kenley Jansen,1
2025-06-07,NYM,New York Mets,8,COL,Colorado Rockies,1,Clay Holmes,Germán Márquez,NotApplyed,0
2025-06-07,BAL,Baltimore Orioles,7,OAK,Athletics,4,Keegan Akin,Luis Severino,Félix Bautista,0
2025-06-08,MIA,Miami Marlins,2,TBR,Tampa Bay Rays,3,Edwin Uceta,Valente Bellozo,NotApplyed,1
2025-06-08,SDP,San Diego Padres,1,MIL,Milwaukee Brewers,0,Yuki Matsui,Rob Zastryzny,Robert Suarez,0
2025-06-08,PHI,Philadelphia Phillies,1,PIT,Pittsburgh Pirates,2,Braxton Ashcraft,Cristopher Sánchez,NotApplyed,1
2025-06-08,TEX,Texas Rangers,4,WSN,Washington Nationals,2,Jacob Webb,Trevor Williams,Robert Garcia,0
2025-06-08,ARI,Arizona Diamondbacks,2,CIN,Cincinnati Reds,4,Taylor Rogers,Zac Gallen,Tony Santillan,1
2025-06-08,HOU,Houston Astros,2,CLE,Cleveland Guardians,4,Cade Smith,Steven Okert,Emmanuel Clase,1
2025-06-08,CHC,Chicago Cubs,0,DET,Detroit Tigers,4,Jack Flaherty,Cade Horton,NotApplyed,1
2025-06-08,KCR,Kansas City Royals,7,CHW,Chicago White Sox,5,Michael Lorenzen,Tyler Alexander,Carlos Estévez,0
2025-06-08,TOR,Toronto Blue Jays,3,MIN,Minnesota Twins,6,Joe Ryan,Bowden Francis,Jhoan Duran,1
2025-06-08,LAD,Los Angeles Dodgers,7,STL,St. Louis Cardinals,3,Clayton Kershaw,Michael McGreevy,NotApplyed,0
2025-06-08,NYM,New York Mets,13,COL,Colorado Rockies,5,Tylor Megill,Chase Dollander,Paul Blackburn,0
2025-06-08,BAL,Baltimore Orioles,1,OAK,Athletics,5,Sean Newcomb,Tomoyuki Sugano,NotApplyed,1
2025-06-08,ATL,Atlanta Braves,3,SFG,San Francisco Giants,4,Landen Roupp,Spencer Strider,Camilo Doval,1
2025-06-08,SEA,Seattle Mariners,3,LAA,Los Angeles Angels,2,George Kirby,Tyler Anderson,Andrés Muñoz,0
2025-06-08,BOS,Boston Red Sox,11,NYY,New York Yankees,7,Hunter Dobbins,Carlos Rodón,Aroldis Chapman,0
2025-06-09,CIN,Cincinnati Reds,7,CLE,Cleveland Guardians,4,Wade Miley,Luis Ortiz,Emilio Pagán,0
2025-06-09,MIA,Miami Marlins,3,PIT,Pittsburgh Pirates,10,Caleb Ferguson,Eury Pérez,NotApplyed,1
2025-06-09,CHC,Chicago Cubs,3,PHI,Philadelphia Phillies,4,Carlos Hernández,Daniel Palencia,NotApplyed,1
2025-06-09,TBR,Tampa Bay Rays,10,BOS,Boston Red Sox,8,Ian Seymour,Zack Kelly,NotApplyed,0
2025-06-09,ATL,Atlanta Braves,7,MIL,Milwaukee Brewers,1,Chris Sale,Aaron Civale,NotApplyed,0
2025-06-09,TOR,Toronto Blue Jays,5,STL,St. Louis Cardinals,4,Yariel Rodríguez,Phil Maton,Jeff Hoffman,0
2025-06-09,OAK,Athletics,4,LAA,Los Angeles Angels,7,Yusei Kikuchi,Jeffrey Springs,NotApplyed,1
2025-06-09,SEA,Seattle Mariners,4,ARI,Arizona Diamondbacks,8,Jalen Beeks,Carlos Vargas,NotApplyed,1
2025-06-09,LAD,Los Angeles Dodgers,8,SDP,San Diego Padres,7,Kirby Yates,Wandy Peralta,Tanner Scott,0
2025-06-12,TEX,Texas Rangers,16,MIN,Minnesota Twins,3,Patrick Corbin,Bailey Ober,NotApplyed,0
2025-06-12,WSN,Washington Nationals,3,NYM,New York Mets,4,Kodai Senga,Michael Soroka,Edwin Díaz,1
2025-06-12,SFG,San Francisco Giants,7,COL,Colorado Rockies,8,Seth Halvorsen,Randy Rodríguez,NotApplyed,1
2025-06-12,DET,Detroit Tigers,4,BAL,Baltimore Orioles,1,Tarik Skubal,Dean Kremer,Will Vest,0
2025-06-12,NYY,New York Yankees,1,KCR,Kansas City Royals,0,Mark Leiter Jr.,Lucas Erceg,Devin Williams,0
2025-06-12,STL,St. Louis Cardinals,0,MIL,Milwaukee Brewers,6,Jacob Misiorowski,Sonny Gray,Aaron Ashby,1
2025-06-12,PIT,Pittsburgh Pirates,2,CHC,Chicago Cubs,3,Jameson Taillon,Andrew Heaney,Ryan Pressly,1
2025-06-12,CHW,Chicago White Sox,3,HOU,Houston Astros,4,Framber Valdez,Davis Martin,Josh Hader,1
2025-06-13,PIT,Pittsburgh Pirates,2,CHC,Chicago Cubs,1,Dennis Santana,Drew Pomeranz,David Bednar,0
2025-06-13,TOR,Toronto Blue Jays,0,PHI,Philadelphia Phillies,8,Ranger Suárez,Kevin Gausman,NotApplyed,1
2025-06-13,MIA,Miami Marlins,11,WSN,Washington Nationals,9,Tyler Phillips,Mitchell Parker,Calvin Faucher,0
2025-06-13,LAA,Los Angeles Angels,0,BAL,Baltimore Orioles,2,Charlie Morton,Jack Kochanowicz,Félix Bautista,1
2025-06-13,NYY,New York Yankees,1,BOS,Boston Red Sox,2,Garrett Whitlock,Tim Hill,NotApplyed,1
2025-06-13,CIN,Cincinnati Reds,5,DET,Detroit Tigers,11,Keider Montero,Nick Martinez,NotApplyed,1
2025-06-13,TBR,Tampa Bay Rays,7,NYM,New York Mets,5,Eric Orze,Max Kranick,Pete Fairbanks,0
2025-06-13,COL,Colorado Rockies,4,ATL,Atlanta Braves,12,Enyel De Los Santos,Victor Vodnik,NotApplyed,1
2025-06-13,CHW,Chicago White Sox,1,TEX,Texas Rangers,3,Jacob Webb,Adrian Houser,Robert Garcia,1
2025-06-13,MIN,Minnesota Twins,3,HOU,Houston Astros,10,Colton Gordon,Chris Paddack,NotApplyed,1
2025-06-13,OAK,Athletics,6,KCR,Kansas City Royals,4,Luis Severino,Michael Wacha,NotApplyed,0
2025-06-13,STL,St. Louis Cardinals,2,MIL,Milwaukee Brewers,3,Freddy Peralta,Erick Fedde,Trevor Megill,1
2025-06-13,SDP,San Diego Padres,1,ARI,Arizona Diamondbacks,5,Ryne Nelson,Stephen Kolek,NotApplyed,1
2025-06-13,SFG,San Francisco Giants,6,LAD,Los Angeles Dodgers,2,Logan Webb,Yoshinobu Yamamoto,NotApplyed,0
2025-06-13,CLE,Cleveland Guardians,2,SEA,Seattle Mariners,7,Carlos Vargas,Tim Herrin,NotApplyed,1
2025-06-14,MIA,Miami Marlins,4,WSN,Washington Nationals,3,Janson Junk,Trevor Williams,Calvin Faucher,0
