date,away_team,a_team_name,R_A,home_team,h_team_name,R_H,Ganador_Pitcher,Perdedor_Pitcher,Salvado_Pitcher,ganador
2025-08-03,STL,St. Louis Cardinals,3,SDP,San Diego Padres,7,Dylan Cease,Andre Pallante,Robert Suarez,1
2025-08-03,TEX,Texas Rangers,4,SEA,Seattle Mariners,5,Logan Evans,Jacob deGrom,Andrés Muñoz,1
2025-08-03,DET,Detroit Tigers,0,PHI,Philadelphia Phillies,2,Cristopher Sánchez,Charlie Morton,Jhoan Duran,1
2025-08-06,BAL,Baltimore Orioles,5,PHI,Philadelphia Phillies,1,Trevor Rogers,Ranger Suárez,NotApplyed,0
2025-08-06,SFG,San Francisco Giants,4,PIT,Pittsburgh Pirates,2,Ryan Walker,Dennis Santana,Randy Rodríguez,0
2025-08-06,MIN,Minnesota Twins,9,DET,Detroit Tigers,4,Thomas Hatch,Jack Flaherty,NotApplyed,0
2025-08-06,CLE,Cleveland Guardians,4,NYM,New York Mets,1,Gavin Williams,David Peterson,Hunter Gaddis,0
2025-08-06,CIN,Cincinnati Reds,1,CHC,Chicago Cubs,6,Cade Horton,Andrew Abbott,NotApplyed,1
2025-08-06,NYY,New York Yankees,3,TEX,Texas Rangers,2,Mark Leiter Jr.,Robert Garcia,David Bednar,0
2025-08-06,TOR,Toronto Blue Jays,20,COL,Colorado Rockies,1,Kevin Gausman,Kyle Freeland,NotApplyed,0
2025-08-06,TBR,Tampa Bay Rays,5,LAA,Los Angeles Angels,4,Garrett Cleavinger,Ryan Zeferjahn,Pete Fairbanks,0
2025-08-06,STL,St. Louis Cardinals,5,LAD,Los Angeles Dodgers,3,JoJo Romero,Alex Vesia,Riley O'Brien,0
2025-08-06,HOU,Houston Astros,4,MIA,Miami Marlins,6,Janson Junk,Spencer Arrighetti,Lake Bachar,1
2025-08-06,OAK,Athletics,1,WSN,Washington Nationals,2,Jose A. Ferrer,Michael Kelly,NotApplyed,1
2025-08-06,KCR,Kansas City Royals,7,BOS,Boston Red Sox,3,Michael Wacha,Dustin May,NotApplyed,0
2025-08-06,MIL,Milwaukee Brewers,5,ATL,Atlanta Braves,4,Jose Quintana,Spencer Strider,Trevor Megill,0
2025-08-06,SDP,San Diego Padres,3,ARI,Arizona Diamondbacks,2,Adrián Morejón,Kyle Backhus,Mason Miller,0
2025-08-06,CHW,Chicago White Sox,6,SEA,Seattle Mariners,8,George Kirby,Jonathan Cannon,Andrés Muñoz,1
2025-08-08,CIN,Cincinnati Reds,2,PIT,Pittsburgh Pirates,3,Kyle Nicolas,Tony Santillan,Dennis Santana,1
2025-08-08,OAK,Athletics,2,BAL,Baltimore Orioles,3,Tomoyuki Sugano,J.T. Ginn,Keegan Akin,1
2025-08-08,HOU,Houston Astros,5,NYY,New York Yankees,3,Josh Hader,Devin Williams,NotApplyed,0
2025-08-08,LAA,Los Angeles Angels,5,DET,Detroit Tigers,6,Troy Melton,Reid Detmers,Kyle Finnegan,1
2025-08-08,MIA,Miami Marlins,5,ATL,Atlanta Braves,1,Edward Cabrera,Bryce Elder,NotApplyed,0
2025-08-08,CLE,Cleveland Guardians,9,CHW,Chicago White Sox,5,Tanner Bibee,Aaron Civale,NotApplyed,0
2025-08-08,PHI,Philadelphia Phillies,9,TEX,Texas Rangers,1,Cristopher Sánchez,Merrill Kelly,NotApplyed,0
2025-08-08,NYM,New York Mets,2,MIL,Milwaukee Brewers,3,Brandon Woodruff,Kodai Senga,Trevor Megill,1
2025-08-08,KCR,Kansas City Royals,4,MIN,Minnesota Twins,9,Joe Ryan,Seth Lugo,NotApplyed,1
2025-08-08,CHC,Chicago Cubs,0,STL,St. Louis Cardinals,5,Michael McGreevy,Matthew Boyd,NotApplyed,1
2025-08-08,COL,Colorado Rockies,1,ARI,Arizona Diamondbacks,6,Zac Gallen,Austin Gomber,NotApplyed,1
2025-08-08,BOS,Boston Red Sox,10,SDP,San Diego Padres,2,Walker Buehler,Nick Pivetta,NotApplyed,0
2025-08-08,TBR,Tampa Bay Rays,2,SEA,Seattle Mariners,3,Carlos Vargas,Griffin Jax,Matt Brash,1
2025-08-08,TOR,Toronto Blue Jays,1,LAD,Los Angeles Dodgers,5,Clayton Kershaw,Max Scherzer,NotApplyed,1
2025-08-08,WSN,Washington Nationals,0,SFG,San Francisco Giants,5,Kai-Wei Teng,Jake Irvin,NotApplyed,1
2025-08-09,MIA,Miami Marlins,1,ATL,Atlanta Braves,7,Hurston Waldrep,Ryan Gusto,NotApplyed,1
2025-08-09,HOU,Houston Astros,4,NYY,New York Yankees,5,David Bednar,Bryan King,NotApplyed,1
2025-08-09,WSN,Washington Nationals,4,SFG,San Francisco Giants,2,Brad Lord,Carson Whisenhunt,Jose A. Ferrer,0
2025-08-09,LAA,Los Angeles Angels,7,DET,Detroit Tigers,4,Yusei Kikuchi,Charlie Morton,Kenley Jansen,0
2025-08-09,CIN,Cincinnati Reds,2,PIT,Pittsburgh Pirates,1,Nick Martinez,Carmen Mlodzinski,Emilio Pagán,0
2025-08-09,OAK,Athletics,11,BAL,Baltimore Orioles,3,Jack Perkins,Brandon Young,NotApplyed,0
2025-08-09,CLE,Cleveland Guardians,3,CHW,Chicago White Sox,1,Joey Cantillo,Sean Burke,Cade Smith,0
2025-08-09,NYM,New York Mets,4,MIL,Milwaukee Brewers,7,Jared Koenig,Ryne Stanek,Trevor Megill,1
2025-08-09,KCR,Kansas City Royals,2,MIN,Minnesota Twins,0,Noah Cameron,Bailey Ober,Carlos Estévez,0
2025-08-09,MIA,Miami Marlins,6,ATL,Atlanta Braves,8,Erick Fedde,Sandy Alcantara,Raisel Iglesias,1
2025-08-09,CHC,Chicago Cubs,9,STL,St. Louis Cardinals,1,Colin Rea,Andre Pallante,NotApplyed,0
2025-08-09,PHI,Philadelphia Phillies,3,TEX,Texas Rangers,2,Jesús Luzardo,Jacob deGrom,Jhoan Duran,0
2025-08-09,COL,Colorado Rockies,5,ARI,Arizona Diamondbacks,6,Andrew Hoffmann,Jimmy Herget,NotApplyed,1
2025-08-09,BOS,Boston Red Sox,4,SDP,San Diego Padres,5,Jason Adam,Garrett Whitlock,NotApplyed,1
